Extension,Count,Percentage,Category,Examples
wps,579,0.03%,Unkategorisiert,SHSBC249.wps; SHSBC398.wps; SHSBC240.wps
ds_store,544,0.03%,Unkategorisiert,.DS_Store; .DS_Store; .DS_Store
ra,468,0.03%,🎵 Audio,FRT8.RA; ITT9.RA; ALL_LIFE.RA
_.ds_store,463,0.03%,Unkategorisiert,._.DS_Store; ._.DS_Store; ._.DS_Store
flv,460,0.03%,🎬 Video,1_5_Geting_started_in_Dianetics_-_It_was_almost_like_a_family_-_Miracles.flv; Mike_McClaughry_Guardian_s_Office_9_of_9.flv; Able - What Students and Parents say.flv
mem,436,0.03%,Unkategorisiert,EXM10.MEM; EXM10.MEM; ADO5.MEM
m4a,430,0.03%,🎵 Audio,15-212 Thinnies copy.m4a; 07Component parts of beingness2.m4a; 07Component parts of beingness2.m4a
bup,401,0.02%,Unkategorisiert,VTS_04_0.BUP; VTS_02_0.BUP; VIDEO_TS.BUP
ion,371,0.02%,Unkategorisiert,DESCRIPT.ION; DESCRIPT.ION; DESCRIPT.ION
cat,369,0.02%,Unkategorisiert,ftdiport.cat; TEST1.CAT; acrocat.cat
log,358,0.02%,🔧 System,hs_err_pid13898.log; doit.log; 24-09-16-rsync.log
exe,355,0.02%,🔧 System,WINRUN.EXE; Haali Reader v2.0 Setup.exe; SELF.EXE
jpeg,349,0.02%,🖼️ Bilder,ability3.jpeg; ability3.jpeg; image4.jpeg
xml,324,0.02%,💻 Code,filelist.xml; filelist.xml; filelist.xml
dat,305,0.02%,Unkategorisiert,0364.dat; 0364.dat; 0364.dat
pk,297,0.02%,Unkategorisiert,6109C21 S3 SHSBC 057 Reibungslosigkeit im Auditing.pk; 11 - 11 Chapter Two Handling The Confusion Of The Workaday World - L. Ron Hubbard.pk; 12 - Unbekannter Titel - Unbekannter Interpret.pk
directory,296,0.02%,Unkategorisiert,.directory; .directory; .directory
thm,285,0.02%,Unkategorisiert,MAH03036.THM; MAH00655.THM; MAH03248.THM
pfb,281,0.02%,Unkategorisiert,_ei_____.pfb; _ei_____.pfb; _ei_____.pfb
pfm,280,0.02%,Unkategorisiert,_A______.PFM; _A______.PFM; _A______.PFM
deu,272,0.02%,Unkategorisiert,IA32.DEU; IA32.DEU; IA32.DEU
epub,271,0.02%,📄 Text,PAB-078 Verwaltung D050456.epub; PAB-094 Anatomie von Fallen D150856.epub; PAB-035 Was ich beim Ausbilden gelernt habe D180954.epub
ram,268,0.02%,Unkategorisiert,mmtvpt2.ram; OTpanelpt3.ram; higb2.ram
ddd,250,0.01%,Unkategorisiert,00000002.ddd; 00000002.ddd; 00000002.ddd
did,250,0.01%,Unkategorisiert,00000002.did; 00000002.did; 00000005.did
class,242,0.01%,Unkategorisiert,Comment.class; SVGFEDiffuseLightingElement.class; Counter.class
pdd,225,0.01%,Unkategorisiert,00000051.pdd; 00000006.pdd; 00000006.pdd
api,224,0.01%,Unkategorisiert,Infusium.api; Infusium.api; Infusium.api
lst,215,0.01%,Unkategorisiert,new.lst; new.lst; new.lst
